target,image_path
1,D:\mlproject\milk10k\images\ISIC_0204323.jpg
1,D:\mlproject\milk10k\images\ISIC_0204389.jpg
1,D:\mlproject\milk10k\images\ISIC_0204717.jpg
1,D:\mlproject\milk10k\images\ISIC_0208357.jpg
1,D:\mlproject\milk10k\images\ISIC_0210672.jpg
0,D:\mlproject\milk10k\images\ISIC_0210682.jpg
1,D:\mlproject\milk10k\images\ISIC_0210906.jpg
1,D:\mlproject\milk10k\images\ISIC_0211067.jpg
0,D:\mlproject\milk10k\images\ISIC_0211830.jpg
1,D:\mlproject\milk10k\images\ISIC_0212251.jpg
1,D:\mlproject\milk10k\images\ISIC_0215803.jpg
0,D:\mlproject\milk10k\images\ISIC_0216815.jpg
1,D:\mlproject\milk10k\images\ISIC_0217174.jpg
1,D:\mlproject\milk10k\images\ISIC_0217198.jpg
1,D:\mlproject\milk10k\images\ISIC_0218425.jpg
1,D:\mlproject\milk10k\images\ISIC_0220749.jpg
0,D:\mlproject\milk10k\images\ISIC_0220890.jpg
1,D:\mlproject\milk10k\images\ISIC_0225237.jpg
1,D:\mlproject\milk10k\images\ISIC_0225383.jpg
1,D:\mlproject\milk10k\images\ISIC_0225656.jpg
1,D:\mlproject\milk10k\images\ISIC_0226793.jpg
0,D:\mlproject\milk10k\images\ISIC_0226810.jpg
1,D:\mlproject\milk10k\images\ISIC_0228941.jpg
1,D:\mlproject\milk10k\images\ISIC_0229794.jpg
1,D:\mlproject\milk10k\images\ISIC_0230087.jpg
1,D:\mlproject\milk10k\images\ISIC_0230558.jpg
1,D:\mlproject\milk10k\images\ISIC_0230992.jpg
1,D:\mlproject\milk10k\images\ISIC_0231625.jpg
1,D:\mlproject\milk10k\images\ISIC_0233827.jpg
1,D:\mlproject\milk10k\images\ISIC_0233929.jpg
0,D:\mlproject\milk10k\images\ISIC_0234148.jpg
1,D:\mlproject\milk10k\images\ISIC_0234458.jpg
0,D:\mlproject\milk10k\images\ISIC_0236002.jpg
1,D:\mlproject\milk10k\images\ISIC_0236351.jpg
1,D:\mlproject\milk10k\images\ISIC_0237641.jpg
1,D:\mlproject\milk10k\images\ISIC_0240393.jpg
1,D:\mlproject\milk10k\images\ISIC_0241896.jpg
0,D:\mlproject\milk10k\images\ISIC_0242383.jpg
1,D:\mlproject\milk10k\images\ISIC_0244875.jpg
0,D:\mlproject\milk10k\images\ISIC_0245594.jpg
1,D:\mlproject\milk10k\images\ISIC_0247645.jpg
1,D:\mlproject\milk10k\images\ISIC_0248336.jpg
1,D:\mlproject\milk10k\images\ISIC_0250211.jpg
1,D:\mlproject\milk10k\images\ISIC_0251142.jpg
0,D:\mlproject\milk10k\images\ISIC_0254794.jpg
1,D:\mlproject\milk10k\images\ISIC_0255886.jpg
1,D:\mlproject\milk10k\images\ISIC_0256695.jpg
1,D:\mlproject\milk10k\images\ISIC_0257297.jpg
0,D:\mlproject\milk10k\images\ISIC_0257338.jpg
1,D:\mlproject\milk10k\images\ISIC_0258020.jpg
1,D:\mlproject\milk10k\images\ISIC_0259020.jpg
1,D:\mlproject\milk10k\images\ISIC_0260732.jpg
1,D:\mlproject\milk10k\images\ISIC_0261218.jpg
1,D:\mlproject\milk10k\images\ISIC_0263121.jpg
1,D:\mlproject\milk10k\images\ISIC_0263908.jpg
0,D:\mlproject\milk10k\images\ISIC_0264904.jpg
0,D:\mlproject\milk10k\images\ISIC_0265421.jpg
1,D:\mlproject\milk10k\images\ISIC_0265983.jpg
1,D:\mlproject\milk10k\images\ISIC_0266897.jpg
0,D:\mlproject\milk10k\images\ISIC_0267616.jpg
1,D:\mlproject\milk10k\images\ISIC_0268984.jpg
1,D:\mlproject\milk10k\images\ISIC_0270502.jpg
0,D:\mlproject\milk10k\images\ISIC_0271489.jpg
0,D:\mlproject\milk10k\images\ISIC_0273939.jpg
1,D:\mlproject\milk10k\images\ISIC_0274862.jpg
1,D:\mlproject\milk10k\images\ISIC_0275196.jpg
1,D:\mlproject\milk10k\images\ISIC_0277160.jpg
0,D:\mlproject\milk10k\images\ISIC_0278402.jpg
1,D:\mlproject\milk10k\images\ISIC_0278827.jpg
0,D:\mlproject\milk10k\images\ISIC_0280428.jpg
1,D:\mlproject\milk10k\images\ISIC_0281083.jpg
0,D:\mlproject\milk10k\images\ISIC_0282178.jpg
0,D:\mlproject\milk10k\images\ISIC_0282454.jpg
1,D:\mlproject\milk10k\images\ISIC_0282478.jpg
1,D:\mlproject\milk10k\images\ISIC_0283929.jpg
1,D:\mlproject\milk10k\images\ISIC_0284963.jpg
0,D:\mlproject\milk10k\images\ISIC_0286860.jpg
1,D:\mlproject\milk10k\images\ISIC_0289289.jpg
1,D:\mlproject\milk10k\images\ISIC_0289550.jpg
1,D:\mlproject\milk10k\images\ISIC_0289881.jpg
0,D:\mlproject\milk10k\images\ISIC_0290183.jpg
0,D:\mlproject\milk10k\images\ISIC_0290702.jpg
0,D:\mlproject\milk10k\images\ISIC_0292082.jpg
1,D:\mlproject\milk10k\images\ISIC_0292393.jpg
1,D:\mlproject\milk10k\images\ISIC_0294743.jpg
1,D:\mlproject\milk10k\images\ISIC_0297229.jpg
1,D:\mlproject\milk10k\images\ISIC_0298744.jpg
1,D:\mlproject\milk10k\images\ISIC_0301368.jpg
1,D:\mlproject\milk10k\images\ISIC_0302768.jpg
1,D:\mlproject\milk10k\images\ISIC_0303344.jpg
1,D:\mlproject\milk10k\images\ISIC_0303886.jpg
1,D:\mlproject\milk10k\images\ISIC_0304311.jpg
1,D:\mlproject\milk10k\images\ISIC_0304794.jpg
1,D:\mlproject\milk10k\images\ISIC_0305865.jpg
0,D:\mlproject\milk10k\images\ISIC_0307003.jpg
1,D:\mlproject\milk10k\images\ISIC_0307392.jpg
1,D:\mlproject\milk10k\images\ISIC_0307669.jpg
1,D:\mlproject\milk10k\images\ISIC_0308676.jpg
1,D:\mlproject\milk10k\images\ISIC_0310082.jpg
1,D:\mlproject\milk10k\images\ISIC_0310449.jpg
0,D:\mlproject\milk10k\images\ISIC_0310855.jpg
1,D:\mlproject\milk10k\images\ISIC_0311394.jpg
0,D:\mlproject\milk10k\images\ISIC_0311944.jpg
0,D:\mlproject\milk10k\images\ISIC_0313013.jpg
0,D:\mlproject\milk10k\images\ISIC_0314216.jpg
1,D:\mlproject\milk10k\images\ISIC_0314737.jpg
1,D:\mlproject\milk10k\images\ISIC_0316259.jpg
1,D:\mlproject\milk10k\images\ISIC_0317094.jpg
1,D:\mlproject\milk10k\images\ISIC_0319894.jpg
1,D:\mlproject\milk10k\images\ISIC_0320008.jpg
1,D:\mlproject\milk10k\images\ISIC_0321371.jpg
1,D:\mlproject\milk10k\images\ISIC_0323748.jpg
0,D:\mlproject\milk10k\images\ISIC_0323945.jpg
1,D:\mlproject\milk10k\images\ISIC_0324439.jpg
0,D:\mlproject\milk10k\images\ISIC_0325053.jpg
1,D:\mlproject\milk10k\images\ISIC_0325706.jpg
1,D:\mlproject\milk10k\images\ISIC_0326524.jpg
1,D:\mlproject\milk10k\images\ISIC_0326699.jpg
1,D:\mlproject\milk10k\images\ISIC_0327776.jpg
0,D:\mlproject\milk10k\images\ISIC_0329283.jpg
1,D:\mlproject\milk10k\images\ISIC_0330089.jpg
1,D:\mlproject\milk10k\images\ISIC_0332299.jpg
1,D:\mlproject\milk10k\images\ISIC_0332749.jpg
1,D:\mlproject\milk10k\images\ISIC_0333650.jpg
0,D:\mlproject\milk10k\images\ISIC_0336951.jpg
1,D:\mlproject\milk10k\images\ISIC_0338353.jpg
1,D:\mlproject\milk10k\images\ISIC_0338405.jpg
0,D:\mlproject\milk10k\images\ISIC_0338923.jpg
0,D:\mlproject\milk10k\images\ISIC_0339191.jpg
0,D:\mlproject\milk10k\images\ISIC_0342710.jpg
1,D:\mlproject\milk10k\images\ISIC_0346032.jpg
0,D:\mlproject\milk10k\images\ISIC_0346075.jpg
1,D:\mlproject\milk10k\images\ISIC_0346352.jpg
0,D:\mlproject\milk10k\images\ISIC_0349437.jpg
1,D:\mlproject\milk10k\images\ISIC_0350119.jpg
1,D:\mlproject\milk10k\images\ISIC_0350483.jpg
0,D:\mlproject\milk10k\images\ISIC_0350747.jpg
0,D:\mlproject\milk10k\images\ISIC_0350911.jpg
0,D:\mlproject\milk10k\images\ISIC_0352367.jpg
1,D:\mlproject\milk10k\images\ISIC_0353171.jpg
1,D:\mlproject\milk10k\images\ISIC_0354697.jpg
0,D:\mlproject\milk10k\images\ISIC_0356038.jpg
0,D:\mlproject\milk10k\images\ISIC_0360727.jpg
1,D:\mlproject\milk10k\images\ISIC_0361189.jpg
1,D:\mlproject\milk10k\images\ISIC_0361366.jpg
1,D:\mlproject\milk10k\images\ISIC_0362181.jpg
0,D:\mlproject\milk10k\images\ISIC_0363002.jpg
1,D:\mlproject\milk10k\images\ISIC_0364345.jpg
1,D:\mlproject\milk10k\images\ISIC_0365517.jpg
0,D:\mlproject\milk10k\images\ISIC_0366902.jpg
0,D:\mlproject\milk10k\images\ISIC_0367096.jpg
1,D:\mlproject\milk10k\images\ISIC_0368075.jpg
0,D:\mlproject\milk10k\images\ISIC_0368345.jpg
1,D:\mlproject\milk10k\images\ISIC_0368483.jpg
1,D:\mlproject\milk10k\images\ISIC_0368554.jpg
1,D:\mlproject\milk10k\images\ISIC_0369681.jpg
1,D:\mlproject\milk10k\images\ISIC_0370218.jpg
0,D:\mlproject\milk10k\images\ISIC_0370740.jpg
1,D:\mlproject\milk10k\images\ISIC_0370911.jpg
1,D:\mlproject\milk10k\images\ISIC_0371409.jpg
1,D:\mlproject\milk10k\images\ISIC_0371990.jpg
0,D:\mlproject\milk10k\images\ISIC_0372945.jpg
1,D:\mlproject\milk10k\images\ISIC_0373147.jpg
1,D:\mlproject\milk10k\images\ISIC_0373667.jpg
0,D:\mlproject\milk10k\images\ISIC_0373682.jpg
0,D:\mlproject\milk10k\images\ISIC_0373826.jpg
1,D:\mlproject\milk10k\images\ISIC_0376198.jpg
1,D:\mlproject\milk10k\images\ISIC_0376743.jpg
0,D:\mlproject\milk10k\images\ISIC_0376752.jpg
0,D:\mlproject\milk10k\images\ISIC_0376931.jpg
0,D:\mlproject\milk10k\images\ISIC_0377418.jpg
1,D:\mlproject\milk10k\images\ISIC_0377749.jpg
1,D:\mlproject\milk10k\images\ISIC_0378725.jpg
0,D:\mlproject\milk10k\images\ISIC_0378928.jpg
1,D:\mlproject\milk10k\images\ISIC_0379139.jpg
1,D:\mlproject\milk10k\images\ISIC_0379615.jpg
1,D:\mlproject\milk10k\images\ISIC_0379668.jpg
0,D:\mlproject\milk10k\images\ISIC_0381085.jpg
0,D:\mlproject\milk10k\images\ISIC_0381744.jpg
1,D:\mlproject\milk10k\images\ISIC_0381913.jpg
1,D:\mlproject\milk10k\images\ISIC_0382621.jpg
1,D:\mlproject\milk10k\images\ISIC_0383910.jpg
1,D:\mlproject\milk10k\images\ISIC_0384010.jpg
1,D:\mlproject\milk10k\images\ISIC_0385678.jpg
1,D:\mlproject\milk10k\images\ISIC_0386589.jpg
1,D:\mlproject\milk10k\images\ISIC_0387025.jpg
1,D:\mlproject\milk10k\images\ISIC_0387034.jpg
1,D:\mlproject\milk10k\images\ISIC_0387211.jpg
0,D:\mlproject\milk10k\images\ISIC_0387282.jpg
1,D:\mlproject\milk10k\images\ISIC_0387826.jpg
1,D:\mlproject\milk10k\images\ISIC_0388843.jpg
0,D:\mlproject\milk10k\images\ISIC_0389181.jpg
0,D:\mlproject\milk10k\images\ISIC_0390452.jpg
1,D:\mlproject\milk10k\images\ISIC_0391153.jpg
1,D:\mlproject\milk10k\images\ISIC_0391361.jpg
0,D:\mlproject\milk10k\images\ISIC_0392480.jpg
1,D:\mlproject\milk10k\images\ISIC_0393134.jpg
1,D:\mlproject\milk10k\images\ISIC_0393927.jpg
1,D:\mlproject\milk10k\images\ISIC_0396597.jpg
1,D:\mlproject\milk10k\images\ISIC_0397332.jpg
1,D:\mlproject\milk10k\images\ISIC_0398312.jpg
1,D:\mlproject\milk10k\images\ISIC_0398501.jpg
1,D:\mlproject\milk10k\images\ISIC_0402070.jpg
1,D:\mlproject\milk10k\images\ISIC_0402893.jpg
0,D:\mlproject\milk10k\images\ISIC_0403826.jpg
1,D:\mlproject\milk10k\images\ISIC_0406149.jpg
1,D:\mlproject\milk10k\images\ISIC_0408084.jpg
1,D:\mlproject\milk10k\images\ISIC_0408436.jpg
1,D:\mlproject\milk10k\images\ISIC_0408941.jpg
1,D:\mlproject\milk10k\images\ISIC_0410404.jpg
1,D:\mlproject\milk10k\images\ISIC_0410802.jpg
1,D:\mlproject\milk10k\images\ISIC_0411043.jpg
1,D:\mlproject\milk10k\images\ISIC_0411208.jpg
1,D:\mlproject\milk10k\images\ISIC_0411343.jpg
0,D:\mlproject\milk10k\images\ISIC_0411397.jpg
1,D:\mlproject\milk10k\images\ISIC_0411803.jpg
0,D:\mlproject\milk10k\images\ISIC_0414153.jpg
1,D:\mlproject\milk10k\images\ISIC_0414164.jpg
1,D:\mlproject\milk10k\images\ISIC_0415024.jpg
1,D:\mlproject\milk10k\images\ISIC_0416055.jpg
1,D:\mlproject\milk10k\images\ISIC_0416329.jpg
0,D:\mlproject\milk10k\images\ISIC_0417486.jpg
0,D:\mlproject\milk10k\images\ISIC_0418807.jpg
0,D:\mlproject\milk10k\images\ISIC_0419492.jpg
0,D:\mlproject\milk10k\images\ISIC_0422017.jpg
1,D:\mlproject\milk10k\images\ISIC_0423080.jpg
0,D:\mlproject\milk10k\images\ISIC_0423217.jpg
1,D:\mlproject\milk10k\images\ISIC_0424213.jpg
0,D:\mlproject\milk10k\images\ISIC_0424515.jpg
1,D:\mlproject\milk10k\images\ISIC_0424607.jpg
1,D:\mlproject\milk10k\images\ISIC_0426102.jpg
0,D:\mlproject\milk10k\images\ISIC_0426130.jpg
0,D:\mlproject\milk10k\images\ISIC_0426131.jpg
1,D:\mlproject\milk10k\images\ISIC_0426781.jpg
1,D:\mlproject\milk10k\images\ISIC_0427331.jpg
1,D:\mlproject\milk10k\images\ISIC_0427475.jpg
1,D:\mlproject\milk10k\images\ISIC_0428185.jpg
0,D:\mlproject\milk10k\images\ISIC_0428450.jpg
0,D:\mlproject\milk10k\images\ISIC_0433706.jpg
1,D:\mlproject\milk10k\images\ISIC_0435506.jpg
1,D:\mlproject\milk10k\images\ISIC_0438775.jpg
1,D:\mlproject\milk10k\images\ISIC_0440292.jpg
1,D:\mlproject\milk10k\images\ISIC_0440550.jpg
0,D:\mlproject\milk10k\images\ISIC_0441214.jpg
1,D:\mlproject\milk10k\images\ISIC_0441425.jpg
1,D:\mlproject\milk10k\images\ISIC_0441714.jpg
1,D:\mlproject\milk10k\images\ISIC_0441765.jpg
0,D:\mlproject\milk10k\images\ISIC_0442192.jpg
1,D:\mlproject\milk10k\images\ISIC_0442849.jpg
1,D:\mlproject\milk10k\images\ISIC_0442866.jpg
0,D:\mlproject\milk10k\images\ISIC_0443245.jpg
1,D:\mlproject\milk10k\images\ISIC_0444685.jpg
1,D:\mlproject\milk10k\images\ISIC_0444953.jpg
1,D:\mlproject\milk10k\images\ISIC_0445960.jpg
0,D:\mlproject\milk10k\images\ISIC_0447190.jpg
1,D:\mlproject\milk10k\images\ISIC_0447553.jpg
1,D:\mlproject\milk10k\images\ISIC_0448586.jpg
1,D:\mlproject\milk10k\images\ISIC_0450405.jpg
1,D:\mlproject\milk10k\images\ISIC_0450792.jpg
1,D:\mlproject\milk10k\images\ISIC_0454029.jpg
1,D:\mlproject\milk10k\images\ISIC_0454057.jpg
0,D:\mlproject\milk10k\images\ISIC_0456269.jpg
1,D:\mlproject\milk10k\images\ISIC_0457897.jpg
0,D:\mlproject\milk10k\images\ISIC_0458709.jpg
0,D:\mlproject\milk10k\images\ISIC_0460586.jpg
1,D:\mlproject\milk10k\images\ISIC_0460690.jpg
1,D:\mlproject\milk10k\images\ISIC_0461233.jpg
0,D:\mlproject\milk10k\images\ISIC_0461566.jpg
1,D:\mlproject\milk10k\images\ISIC_0463396.jpg
1,D:\mlproject\milk10k\images\ISIC_0463510.jpg
1,D:\mlproject\milk10k\images\ISIC_0464954.jpg
1,D:\mlproject\milk10k\images\ISIC_0467500.jpg
1,D:\mlproject\milk10k\images\ISIC_0467628.jpg
0,D:\mlproject\milk10k\images\ISIC_0467778.jpg
1,D:\mlproject\milk10k\images\ISIC_0468332.jpg
0,D:\mlproject\milk10k\images\ISIC_0468733.jpg
1,D:\mlproject\milk10k\images\ISIC_0470080.jpg
0,D:\mlproject\milk10k\images\ISIC_0471652.jpg
1,D:\mlproject\milk10k\images\ISIC_0472359.jpg
1,D:\mlproject\milk10k\images\ISIC_0473678.jpg
0,D:\mlproject\milk10k\images\ISIC_0474474.jpg
1,D:\mlproject\milk10k\images\ISIC_0477999.jpg
1,D:\mlproject\milk10k\images\ISIC_0478016.jpg
1,D:\mlproject\milk10k\images\ISIC_0478881.jpg
0,D:\mlproject\milk10k\images\ISIC_0479656.jpg
1,D:\mlproject\milk10k\images\ISIC_0481541.jpg
1,D:\mlproject\milk10k\images\ISIC_0483066.jpg
1,D:\mlproject\milk10k\images\ISIC_0485396.jpg
1,D:\mlproject\milk10k\images\ISIC_0485633.jpg
0,D:\mlproject\milk10k\images\ISIC_0487104.jpg
1,D:\mlproject\milk10k\images\ISIC_0488771.jpg
1,D:\mlproject\milk10k\images\ISIC_0489274.jpg
0,D:\mlproject\milk10k\images\ISIC_0489440.jpg
1,D:\mlproject\milk10k\images\ISIC_0489493.jpg
1,D:\mlproject\milk10k\images\ISIC_0490117.jpg
1,D:\mlproject\milk10k\images\ISIC_0490330.jpg
1,D:\mlproject\milk10k\images\ISIC_0490468.jpg
1,D:\mlproject\milk10k\images\ISIC_0495585.jpg
1,D:\mlproject\milk10k\images\ISIC_0495769.jpg
1,D:\mlproject\milk10k\images\ISIC_0496864.jpg
1,D:\mlproject\milk10k\images\ISIC_0497574.jpg
1,D:\mlproject\milk10k\images\ISIC_0497671.jpg
1,D:\mlproject\milk10k\images\ISIC_0497849.jpg
1,D:\mlproject\milk10k\images\ISIC_0497851.jpg
1,D:\mlproject\milk10k\images\ISIC_0497911.jpg
0,D:\mlproject\milk10k\images\ISIC_0497921.jpg
1,D:\mlproject\milk10k\images\ISIC_0498304.jpg
1,D:\mlproject\milk10k\images\ISIC_0499568.jpg
1,D:\mlproject\milk10k\images\ISIC_0499702.jpg
0,D:\mlproject\milk10k\images\ISIC_0499739.jpg
1,D:\mlproject\milk10k\images\ISIC_0500110.jpg
1,D:\mlproject\milk10k\images\ISIC_0501244.jpg
1,D:\mlproject\milk10k\images\ISIC_0502224.jpg
1,D:\mlproject\milk10k\images\ISIC_0502413.jpg
0,D:\mlproject\milk10k\images\ISIC_0502738.jpg
0,D:\mlproject\milk10k\images\ISIC_0504075.jpg
1,D:\mlproject\milk10k\images\ISIC_0506795.jpg
1,D:\mlproject\milk10k\images\ISIC_0506930.jpg
1,D:\mlproject\milk10k\images\ISIC_0506961.jpg
1,D:\mlproject\milk10k\images\ISIC_0507021.jpg
0,D:\mlproject\milk10k\images\ISIC_0507617.jpg
1,D:\mlproject\milk10k\images\ISIC_0507778.jpg
0,D:\mlproject\milk10k\images\ISIC_0508629.jpg
0,D:\mlproject\milk10k\images\ISIC_0508714.jpg
0,D:\mlproject\milk10k\images\ISIC_0510199.jpg
1,D:\mlproject\milk10k\images\ISIC_0510537.jpg
0,D:\mlproject\milk10k\images\ISIC_0512596.jpg
0,D:\mlproject\milk10k\images\ISIC_0512725.jpg
0,D:\mlproject\milk10k\images\ISIC_0512778.jpg
1,D:\mlproject\milk10k\images\ISIC_0513234.jpg
1,D:\mlproject\milk10k\images\ISIC_0513969.jpg
1,D:\mlproject\milk10k\images\ISIC_0514391.jpg
0,D:\mlproject\milk10k\images\ISIC_0515719.jpg
1,D:\mlproject\milk10k\images\ISIC_0517219.jpg
1,D:\mlproject\milk10k\images\ISIC_0517354.jpg
1,D:\mlproject\milk10k\images\ISIC_0517766.jpg
1,D:\mlproject\milk10k\images\ISIC_0518723.jpg
1,D:\mlproject\milk10k\images\ISIC_0519768.jpg
1,D:\mlproject\milk10k\images\ISIC_0522356.jpg
1,D:\mlproject\milk10k\images\ISIC_0524110.jpg
1,D:\mlproject\milk10k\images\ISIC_0525463.jpg
